order_id,user_id,name,city,membership,restaurant_id,restaurant_name,cuisine,rating,order_date,total_amount
1,2508,User_2508,Hyderabad,Regular,450,Restaurant_450,Mexican,3.2,2023-02-18,842.97
2,2693,User_2693,Pune,Regular,309,Restaurant_309,Indian,4.5,2023-01-18,546.68
3,2084,User_2084,Chennai,Gold,107,Restaurant_107,Mexican,4.0,2023-07-15,163.93
4,319,User_319,Bangalore,Gold,224,Restaurant_224,Chinese,4.8,2023-10-04,1155.97
5,1064,User_1064,Pune,Regular,293,Restaurant_293,Italian,3.0,2023-12-25,1321.91
6,2933,User_2933,Chennai,Regular,499,Restaurant_499,Mexican,4.9,2023-07-12,1497.22
7,970,User_970,Bangalore,Regular,35,Restaurant_35,Chinese,3.9,2023-05-30,129.21
8,891,User_891,Pune,Regular,57,Restaurant_57,Mexican,4.4,2023-11-07,269.19
9,364,User_364,Chennai,Gold,7,Restaurant_7,Italian,3.2,2023-12-05,953.3
10,2972,User_2972,Bangalore,Regular,183,Restaurant_183,Chinese,3.7,2023-12-30,351.41
11,924,User_924,Chennai,Regular,235,Restaurant_235,Italian,4.5,2023-12-10,523.82
12,884,User_884,Pune,Gold,423,Restaurant_423,Indian,3.2,2023-10-27,1484.65
13,1958,User_1958,Chennai,Regular,244,Restaurant_244,Italian,4.3,2023-08-11,216.59
14,364,User_364,Chennai,Gold,112,Restaurant_112,Chinese,3.2,2023-09-24,898.24
15,1733,User_1733,Pune,Regular,383,Restaurant_383,Indian,3.1,2023-07-17,1098.41
16,1321,User_1321,Pune,Gold,149,Restaurant_149,Mexican,3.6,2023-07-17,475.74
17,1896,User_1896,Pune,Regular,421,Restaurant_421,Indian,3.0,2023-04-09,1002.51
18,1617,User_1617,Pune,Gold,414,Restaurant_414,Chinese,4.7,2023-04-23,736.89
19,330,User_330,Chennai,Regular,73,Restaurant_73,Mexican,3.1,2023-12-27,392.59
20,2567,User_2567,Bangalore,Gold,52,Restaurant_52,Mexican,4.9,2023-02-03,362.01
21,1610,User_1610,Pune,Regular,186,Restaurant_186,Indian,4.3,2023-08-13,743.68
22,688,User_688,Hyderabad,Gold,279,Restaurant_279,Italian,4.9,2023-07-12,507.82
23,2640,User_2640,Bangalore,Gold,83,Restaurant_83,Chinese,3.5,2023-06-14,1025.36
24,2403,User_2403,Pune,Gold,434,Restaurant_434,Italian,4.7,2023-01-22,412.5
